Compte de dépôt joint n° 0000123456K;;;;
Relevé du 01/07/2026 au 31/07/2026;;;;
Date;Libellé;Débit euros;Crédit euros;
01/07/2026;VIREMENT SALAIRE ACME SAS;;2 850,00;
02/07/2026;VIREMENT PERMANENT VERS LIVRET A;300,00;;
04/07/2026;PRÉLÈVEMENT EDF;78,00;;
05/07/2026;ÉCHÉANCE PRÊT IMMOBILIER;950,00;;
06/07/2026;PAIEMENT CB CARREFOUR MARKET;84,37;;
07/07/2026;PRÉLÈVEMENT FREE MOBILE;19,99;;
11/07/2026;RETRAIT DAB BASTILLE;50,00;;
13/07/2026;RETRAIT DAB BASTILLE;50,00;;
15/07/2026;PRÉLÈVEMENT NETFLIX;13,49;;
18/07/2026;PAIEMENT CB LE PETIT BISTROT;46,50;;
20/07/2026;PAIEMENT CB MONOPRIX;42,15;;
24/07/2026;PAIEMENT CB PHARMACIE DE LA GARE;12,90;;
31/07/2026;FRAIS DE TENUE DE COMPTE;2,50;;
