Compte de dépôt joint n° 0000123456K;;;;
Relevé du 01/08/2026 au 31/08/2026;;;;
Date;Libellé;Débit euros;Crédit euros;
2026-08-01;VIREMENT SALAIRE ACME SAS;;2 850,00;
2026-08-03;VIREMENT PERMANENT VERS LIVRET A;500,00;;
2026-08-04;PRÉLÈVEMENT EDF;78,00;;
2026-08-05;ÉCHÉANCE PRÊT IMMOBILIER;950,00;;
2026-08-07;PRÉLÈVEMENT FREE MOBILE;19,99;;
2026-08-08;PAIEMENT CB CARREFOUR MARKET;96,20;;
2026-08-10;VIREMENT VERS PEA;1 000,00;;
2026-08-14;VIREMENT DE M DUPONT;;120,00;
2026-08-15;PRÉLÈVEMENT NETFLIX;13,49;;
2026-08-22;PAIEMENT CB MONOPRIX;37,80;;
2026-08-28;VIREMENT HARMONIE MUTUELLE;;23,00;
2026-08-31;FRAIS DE TENUE DE COMPTE;2,50;;
2026-08-31;FACTURE CARTE VISA AOÛT;493,69;;
